headword,translations
benennen,praminti
benotsicheit seyn,priwalyti
beobachten,pilnawoti
bequehm,propnas; patogus; indarus
bequehmlichkeit,indaryste; patogyste; patogumas
bequetschen,sutenßti
berathschlagen,susiroditi
berathschlagung,susirodimas
berauben,apbraniti
berauchen,aprukinti; aprukti
berechnen,susirokûti
bereden,apkalbeti; susitarti; sus sikalbeti
beredt,kalbus
beregnen,aplyti; sulyti
bereit,gatawas
bereiten,pagatawiti; pastellûti
bereitschafft,prisigatawijimas
bereitung,pagatawijimas; pastellawojimas
bereuen,apgaileti
berg,kalnas
berg auff,prieß kalna
bergen,slepti
bergheu,medinnis
bergicht,kalnûta
bergnieder,pakalni
bersche,eßerys
bersten,perplißti
berücken,ußpulti
beruff,pawadinimas
beruffen,pawadinti
beruffene der rechtmas sigen weyse,tikru budu pawadintas
beruhren,pakruttinti; dasiliteti
besauffen,apgirditi; prigirditi
besauffen,prisikerti; apsigeri
beschädigen,pazeisti
beschädiger,ißkadininkas
beschädigung,pazeidimas
beschämen,apgedinti
beschauen,apzwalgyti
beschauung,apzwalgimas
bescheisser,szikkininks
beschencken,apdowanoti
beschicken,apsusti
beschimmeln,apipelleti
beschimpffen,apgedinti; apgedinimas
beschirmen,apjergeti
beschirmer,sargas
beschlagen,apmußti
beschlagen das holtz,aptaßyti
beschleichen,sutykoti
beschließen,bengti; uzrakinti
beschloßen,uzrakintas; surakintas
beschluß,uzrakinimas
beschmeißen,apmesti
beschmieren,aptepti
beschmuzen,sutepti
beschneiden,apipiaustyti
beschneidung,apiaustimas
beschnittener,apipjaustitas
beschreiben,apraßyti
beschreibung,apraßimas
beschreiten,apszergti
beschreyen,apdrausti; subarti
beschuldigen,apkaltinti
beschuldigen,apskusti
beschuldigung,apkaltinnimas
beschutten,apkresti
beschüzen,apginti
beschüzer,apkintojis; ginejas
beschwehren,uzzadeti
beschwehrer,uzzadetojas
beschweren,sloginti; apsunkinti; apslekti
beschwerer,slogintojis
beschwerlich,sunku
beschwerlichkeit,sloga
beschwerung,sunkybe; apsunkinimas
beseeligen,apdowanoti
beseen,usseti; apseti
besehen,apzwalgyti
besehung,apzwalgimas
besemer,besmenas; swartis
besen,zlûta
besessener,apsestas
besezen,apstatyti
besichtigen,apdaboti
besingen,apgiedoti
besinnen,atsiminti
besizen,paweldeti; apsedeti
besizer,paweldetojis
besolden,uzmoketi
besoldung,alga
besonders,ypacziey
besorgen,bijotisi
bespeyen,apspiauti
besprechen,apzadeti; uzzadeti
besprengen,apßlakyti; apkrapyti
bespruzen,sutaßkyti
besser,gerraus
bessern,gerintisi; pasigerintisi
besserung,pasigerinnimas
bestand,twirtumas
bestandig,twirtas; twirtesnis; twircziausias
bestandigkeit,twirtybe; twirtumas
bestatten,palaidoti
bestättigen,pastipprinti
bestättigung,pastiprinimas
bestattung,palaidojimas
bestäubern,apdulketi; apdulkiti
beste,gerrausias
bestecken,apkaißiti
bestehen,triwoti; issilaikyti
bestehen bleiben,pastoweti; apsistoti; stapterti
bestehlen,apwogti
bestellen,ißprowiti; pastellûti
besterben,apmirti
bestie,bestije
bestimmen,nulemti
bestimmung,nulemimas
bestreichen,aptepti; wilgiti
bestreichen mit der hand,glostiti
bestreuen,apbarstyti
bestricken,paspesti
besuchen,atlankyti
besuchung,atlankimas
besudeln,sutepti
bet,patalas; lowa; perina
betagt,senai
betasten,apczupineti
bethauren,gailetisi; apgausti
bethen,melsti; melstisi; kaityti
betheuren,prisiegti
bethhauß,poteru nammai
bethören,prigauti
bethstunde,poteraus stundas
betideck,uzdengimieji; perinnai
betrachten,apdumoti
betrachtung,apdumojimas
betragen,apwilketas
betragen,apwilketi
betrauren,apgeddeti
betreffen,nutikti
betretten,uzminti; apmindzoti
betreuffeln,aplaßeti
betrüben,smutisi; warginti
betrübniß,smutka; tuzma; apmaudas
betrübt,smutnas; trubnas
betrübte zeit,trudnas czesas
betrug,klasta; wylus; zdroda; pagawimas; kriwda
betrügen,prigauti; priwilti; zdrodyti
betrüger,klastorius; balamuta; szalbierus
betrügerey,klastoryste; balamuste
betrüglich,prigautinai
betteln,ubbagauti; zebrawoti
betten,patala kloti
bettler,ubagas
bettley,ubbagyste
bettuch,paklode
bettzug,uzwalkalas
beugen,palenkti; klonotisi
beule,gumbas; gussas; skaudulys
beute,pleßimas
beute der bienen auffm baum,drawie
beutel,maßna; kolyta; czereslas
beutel,pittlus
beuteler,maßininkas; kolytininkas
beuteln,pittlawoti
beutelschneider,mazkelninkas
beutner,drawininks
beutnerstrick,geinis; lunku wirwe su kure y medi kopa
bevorab,skiru; ypacziey
bewachen,apsergeti
bewahren,apsaugoti
bewaschen,apskalpti; apmazgoti
bewegen,krutteti; kibuti; kiburti; iuddeti
beweglich,graudingas; graudingesnis; graudingausias
beweglich,graudingay
bewegligkeit,graudingyste
bewegung,kruttejimas; juddejimas
bewehren,ißmeginti; bandyti
bewehrt,ißmegintas; bandytas
beweiben,westi
beweinen,apraudoti; apwerkti
beweisen,ißrodyti; paroditi
beweiß,paradas
beweissen,apbaltinti
bewerffen,apmesti
bewickeln,apwinoti
bewilligen,paweliti
bewilligung,pawelijimas
bewinden,apwinoti
bewirthen,priczestawoti
bewirthung,priczestawojimas
bewischen,apszlûstyti
bewohnen,ygiwenti
bewohnung,ygiwenimas
bewünschen,apwyweti
bewust,zinnomas
bey,prieg; pas
bey gott,prieg diewo
beyde,abbu; abbi; abbuddu; abbidwi
beyde hände voll,rießkuczos
beyderley,abbejopay; abbejeip
beyderseits,abbißalley
beyfall,pritarrimas
beyfallen,pritarti
beyfügen,priglausti
beyfuß,kieczey
beylage,priglaudimas
beylager,prigullimas
beylager halten,prigulti
beylegen,prideti
beyleib,minau
beymes sen,prirokûti
beynach,bemaz; kone; nedaugiu
beysammen,padrauge
beyschlaffen,prigulti
beyseit sezen,padeti
beysetzen,pristellûti
beyseyn,pributi
beysezen,prideti
beyspiel,paweizdas
beyspringen,paszokti; priszokti
beystand,pristojimas
beystehen,pristoti
beysteur,kalleda
beywohnung,pribuwimas
bezahlen,uzmoketi
bezahlung,uzmokejimas; uzmoka
bezäubern,apmonyti
bezauberung,apmonyjimas
bezechen,apgirdyti
bezeichnen,pazenklyti
bezeugen,ißreikßti
bezeugung,ißreikßkimas
bezuchtigen,apklepoti
bezuchtigung,apklepojimas
bezwingen,apgalleti; pergalleti; yweikti
bezwingung,apgalejimas; yweikimas
bibel,szwentas raßtas
bieber,bebrus
biebergeil,bebraus pautai
biegen,palengti
biene,bitte
bienenkönig,bittinas
bienenkönigshauschen,narwas; kwarma; gurbelis
bienenschwarm,spieczus
bienenstechel,gylys
bienenstock,awilys
bienenwarter,biczullis
bier,allus; pywas
bierbräuer,bruwele
bierbruder,girtuklis
bierfaßen,koßti
bierfaßung,koßtuwes
bieten,suliti
bild,abrozas
bildniß,abrozas
billig,wertay; szluzney
billigen,paswaliti
billiger,werczaus
billigkeit,wertyste
bilsenkraut,drignes
bindaxt,bindokas
binde,jûsta
binden,rißti
binsen,meldai
bircke,berzas
birckenholtz,berzine
birckenoel,degutas
birckhahn,medinnis; teterwinas
birckwaßer,sulla
birn,krauße
birnbaum,krauße
bischoff,wyskupas
bischoffsthum,popiezyste
biß,ik; ikkoley; koley; pakoley
bißchen,sznypßkele
bißdahin,ikßoley
bißdahin,iktoley
bissen,kasnis
bissen,zyloti
bissezeit,zylawas czesas
bißher,ikßoley
bißhierher,ikßoley
bißweilen,kartais
bitte,malda
bitten,melßti; praßyti
bitter,kartus; gailus; gailesnis; gailausias
bitter werden,apkarsti
bitterkeit,kartybe; kartumas
bitterlich weinen,karczey; smarkey; grauczey werkti
bitterling,gruzdas
bittweiß,permalda
blach,zestis
blachernstopff,jesties stopa
blackhorn,kalmorus
blanck,szwiesus; szwiesesnis; szwiesausias
blase,pusle
blasebalg,dumples
blasen,pusti; trubiti; dumti
blasen im jiedenden topff,kunkulas
blasen in sieden,kunkuluti
blashorn,truba
blaß,paballes; ißblißkes
blaß werden,ißblykßti
blatiern,nußkinti
blatt,lapas; lakßtas
blattern,pusles
blau,melinas
blau werden,pamelinoti
blauschimmel,jûdßirmis
blauwand,melinei
blecken,blauti
bleiben,pasiligti; dingti
bleich,ißblybkes
bleichen,baltinti
blenden,apjekinti
blendung,apjekinimas
bley,szwinnas
bleyen,bruiße
bleykugel,kulka
blick,mirkßnis
blicken,merkti
blind,aklas
blinde kuhe spielen,guzineti
blinder,aklajis
blindheit,aklyste; aklybe
bliz,zaibai; jaibawimas
blizen,zaibûti
block,kallada
blocken,plauti
blöde,letas; letesnis; leczausias
blodgesicht,druznas
blödigkeit,etummas
bloß,nugas
bloß allein,wiczwien; wienok
blosse,nugyste; nûgata
blühen,zydeti
bluhm,zole
bluhmgarte,zolu darzelis
blut,kraujas
blutdurstig,kraujo trokßtas
bluten,sraweti
blutfluß,pludimas kraujo
bluthe,ziedas
blutig,kruwinas
blutigel,dele
blutschand,kraujo geda
blutwurst,kraujinne deßra
bock,ozys; baronas
bockfell,ozkiena; ojenna
bockfleisch,oziena
bocksbeeren,serbentos
bockshorn,ozo ragas
boden,dugnas
boden,lubbos
bogen,kilpinis
bogen spannen,kilpini intemti
bogenpapier,arkuzas
bohne puppa böß,papykes
bohr,graßtas böß piktas; nelabas; nelemtas; gailas; ledokas
bohren,greßti
boll,bullus
borcke,lubas
borg,meitelis
borge,paslas
borgen,ziczyti
borger,zyczitojis
börnstein,gentaras
borste,plißys
borsten,berei
borsten,perplißti
bort am kleyde,sule
boser gebrauch,piktas prapolis
böß,piktay
böß seyn,pikti
böß thun,piktay daryti
böß werden,papykti
boßhafftig,piktas
boßheit,piktybe; piktenybe; piktummas
bößwicht,newidonas; zladejus; piktulys
bothmaßigkeit,passidawimas
bothschafft,praneßimas
boticher,butkere; kubillus
braacken,brokûti
brachacker,pudimas
bräche,mintuwai
brachen,minti
bracher,minnikas
brachhun,tilwikkas
brachmonath,semenis
bracke,brokas
bracke,skietas
brackke,brakas
brandeysen,ilgdeginis
brandfleck,sadna
brandiger weizen,kuleti kwieczei
brandmahl,ugnies abgams
brandopfer,deginnimo affiera
brandstäte,dieksnies wieta
brandt,ammarai; kules
brandt,nudegulis
brandwein,arielka
brasielien,drozles
braten,kepti
braten,peczenka
bratpfan,pane
bratspieß,jeßmas
bratwurst,kilbasas raumenine
brauchen,wartûti
brauen,alu daryti
brauhauß,bruzas
braukeßel,katilas aludarrys
braukufen,kubillas
braunpferd,beras
bräusel,darimas
brausen,uzimas
brausen,uzti
braut,nûtaka; marti; merga
brautbruder,laigonas
brautführer,wedys
bräutigam,jaunikkis
bräutigamsbruder,diewierys
bräutigamsmutter,anczyta
bräutigamsschwester,mosza
bräutigamsvater,szeßûras
brautjungfer,draugala; mart-merge
brautlied,mart-gieme
brautmutter,ûßwe
brautschatz,kraitis
brautschwester,swaine
brautvater,ûßwis
brautwagen,palagas
brechen,laußti; minti
brechzaum,pleßtinnes
breit,placziey
breite,platumas
breite,platus; platesnis; placzausias
breitfisch,aukßle; bruiße
bremsen,priwersti
bremsen,sparwas
brennen,degti; deginti
brenneysen,ilgdeginis
bressem,karßis
brett,lenta
brettschneider,dielininkas
brey,grucze
brieff,gromata
brieff schreiben,gromatas raßyti
brieffträger,gromatneßis
bringen,atneßti
brocke,trupuczei; trupießka
brocken,trupiti
brod,dûna; dunds kepalas
brodkorb,pintinne
brodkorn,beralas
brodsamen,trupuczei
brodtmehl,dûnmilczei
bruch,prapleßimas
brucke,tiltas
brücke,sijos
bruder,brolis
bruderkinder,brolu waikai; brolewaikai; sessericzei; brulû dweju waikai
brüderlich,brolißkay
bruderntochter,brolycze
brüderschafft,brolyste
brudersohn,brolykas
bruderweib,marti
brühe,jußa
brühen,szuttinti; plikiti
brüllen,rekimmas
brüllen,rekti; baupti
brumeysen,dambras; birbyne; surma
brummen,nurneti
brunn,szullinys
brunnhacken,waßas
brunnkrasse,riezûkas
brunnquell,szaltinnis; wersme
brunnschwengel,swirtis
bruntz,mizalai
bruntzen,myßti
brust,krutis
brustblatt,krutinne
brusten,pasipusti
brustknochen,gûßis
brustlatz,ledra
brustwarze,karpa
brüten,perreti
brüthenne,perrekle
bube,latras
bubenstuck,latryste
buch,knygos
büche,bukas
bücher abschreiben,knygos nuraßyti
buchführer,knygininkas
buchlade,knyginycze
büchse,putczka
buchstabe,skaititine
buchweizen,grikkai
bücke,zluktas
bucken,sluginti
bücken,pasilenkti
bude,buda; kletka
budensizer,kletkininkas
bügel,lankas
bügelrocken,lankinnis
büher,kuras
bund,rißys; suderrejimas; testamentas
bundfuttener,musmeirus
bündniß,suderejimas
bundschwein,daglas
bundstroh,kulys
bundt,margas; daglas
bundt machen,susiroditi; suderreti
bunter vogel,rainas
burde,naßta
burg,pillis
bürge,laidas
burgen,laidûti
burger,miesconis
burgerin,miestianka
burgerlich,miesconiskay
burgerlich,miesconißkas
burgermeister,burgmistras
burgerschafft,miesconyste
bürgschafft,laidawimas
bürste,szepetys
bürsten,szukkoti
busem,antis
busse,pakuta
busse thun,pakutawoti; pakuta daryti
büssen,pakutawoti
bußfertig,pakutawojas
butielknecht,budelbernis
butte,statinne
bütte,erzkeczu ûga
büttel,budelis
butter,swiestas
butterbuchs,waggöne
butterfaß,swiestmußa; mußtuwas
buttermilch,putrullis; pasukos
caldaunen,sankapinis
calecutische hahn,kurkinnas
calecutische henne,kurka
calend,kalendras
calesse,talenge
callesse auff 1 pferdt,kalmögai
calmuß,wilgdalgiei
camehl,werbludas
camerad,draugas
camillenbluhmen,ramunes
cammer,kamara
cammerer,kammarninkas
cammermagdchen,passekkeje
cammin,kaminas
caninchen,karalei; karalikai
canter,kanteris
cantorei,kantoryje
canzel,kozonycia
canzelery,kantzlerija
canzler,kantzleris
capell,striengallys
capitein,kapteinis
capittel,paguldimas; perskirimas
capitz,pergalve
cappaun,koplunas
carethe,kareta
carrabiener,karrabinas
catalogus,suraßas
catechism,katejismas
catechismschüler,katechismo mokintinis
catheder,sostas
catholisch,katolikas
cavallerey,raitelyje
cedernbaum,cedro medys
ceremonien,pajunkimas; prapolis; budas
ceres,zemyne
chor,kuras
christ,krikßczonis
christabend,pasninkas
christin,krikßczianka
christlich,krikbezonißkas
christlich,krikßczonißkay
christmonath,sausis
christtag,kalledos
christus,kristus
chrittenheit,krikbezonyste
chronick,nusidawimo knygos
chure,kurßys
churfurst,ercikis
churfurstenthum,ercikyste
churfürstin,ercikaite
churfürstin,ercikene
churfürstlich,ercikißkas
churprinz,ercikaitis
chwinden,dzuti
circkel,cirkelis
citation,wadinimas
citiren,wadinti; szaukti
clausuren,saktis
cloack,zokadas
closter,klostorus
colick,gumbas
college,draugas
collegium,studentije
comet,dangaus rykßte; swaizde su ûdega
commissarius,dumczus
commission,dumczyste
compagnie,karuna
compan,taworißczus; draugas
confect,smalstumas
conterfehl,abrozas
contract,suderrejimas; susilyginimas
contribuiren,sumesti
contribution,mezlewa
copey,ißraßas
corallen,poterei
coriander,blakes; blakûttes
cornet,karunininks
cörper,lawonas; kunas
corporal,karprolus
correctur,pagerinimas
corrigiren,pagerinti
creatur,sutwerimas
creuz,krizus
creuzigen,krizawoti
creuzigung,krizawojimas
creuzweg,grißkelis
creuzweiß,krizumis
crucifix,krizawone
cymbel,cymbolai
cymbelist,cimbolininks
cyprianus,czipriks
da,czia; te
da gott für sey,diewe ne roczik
dabey,czionay; priegto
dach,stogas
dach über getreyde,baragas; stirtas
dachrinne,rinda
dachsyein,plita
dacht,knatas
dachziegel,plita
dada,padel
dafür,uztai
dagegen,atpencz; prießay
daheim,te; namieje
daheimbleiben,pasilikti
daher,iß to; iß ten
dahin,ten
dalegen,padeti
damahlen,tû czesu; tadda
dame,panna; jumprowa
damit,idant; tuomi
damit nicht,ne
damm,pilimas
dammen,pilti
dampff,garas; dussulys
dampffen,garuti
danck,dekawojimas
danckbar,dekingas; dekingesnis; dekingiausias
danckbar sich erzeigen,dekawoti
danckbarkeit,dekingyste; dekawone
dancken,dekawoti
dancklied,dekawones giesme
danckopffer,dekawojimo apiera
daneben,ta pagalaus
danksagung,dekawojimas; dekawone
dann,nes; nesa; nesangi; juk
dann und wann,kartais
danne,egle
dannenapfel,skujos; czyzkas
dannenhin,togidelei
dannenholz,eglinne
danzig,danskas
danzker,dantzkionis
daran,tûmi
darauch,po tam
darauff,ant to
darauß,iß to
darben,pristokti
dargeben,padûti
dargegen,prießai; atpencz
darm,zarna
darm so klein,zarneles
darre,aßniczia
darre,dzowa
darre haben,dzuti
darre sterben,dzowa mirti
darreichen,padûti
darren,dzowinti
darstellen,paroditi; pawesti
darstellung,pawedimmas
darthun,paroditi; pawesti
darüber,tû tarpu; ant to
darumb,del to; todelei; togidel; todrin
darunter,tarp
darzu,prieg tam
das,tas; ta
daselbst,tenjau; cziajau; cjonjau
daß,idant; jeib; jog; jeng; kkaip; kad
daß nicht,idant ne; jeng
dauen,dregti
daumbalcke,paputzandis
daume,nykßtis
daumeln,swirineti
daumen brechen,nykßti sulaußti
dauren,patekti; triwoti
dauwetter,dregna
davon,nu to
davor,uz tai
dawieder,prieß tai
dazu,prieg to
dazumahl,tû czesu
dazwischen,tû tarpu
deckbette,priklodas; uzdangalas
decke,kauras
decke des hauses,lubbos
decke eines gemachs,lubbos
deckell,antwozas skrynes; kaßeles
decken,dangtis; dengalas
decken,dengti; stegti
decker,tiegus
degen,kardas
dehnen,tiesti; ißtiesti
deichsel,dyselis
dein,tawas
deinige,tawieji
demmen,pilti
demmerung,apitamsa
demnach,kûmet
demuth,pakarnyste
demüthig,pakarnas; pakarnesnis; pakarnausias
demüthig,pakarnay
demüthigen,pasizeminti
dencken,dumoti; misliti; dingoti
denckzettel,paminklas
denckzettel geben,paminkla dûti
denmarck,denmarkas
dennoch,taczau
deputiren,nususti
der,tas; tassai; szittas; szittasai
dergestalt,tû budu
dergleichen,toksai
derhalben,tadelei
dermahleins,kartunta
derowegen,del to
derselbe,tas pats; tas kat; tasjau
des mannes schwester,moscza
des mannes ßruder,deweris
dessell,teßlicza; wedega
deßwegen,todrin
destomehr,jû daugiaus
deuten,issimaniti
deutlich,wokißkiey
deutsch,wokißkas
deutscher,woketis
deutschland,tauta wöke
deutung,issimanimas
dicht,tankus; tankesnis; tankausias
dicht oder fest machen,padrutinti
dichten,dumoti
dick,storas; tirßtas; tirßtesnis; tirßtausias
dick machen,tirßtai daryti; dußai penneti
dick werden,prastingti
dickbackicht,pupuzandis
dicke ende eines eyes,putzka
dicke milch,rukßtus; kukßtas pienas
dickelicht,storas
dickersafft,tirßti sywai
dickikeit,storumas; tirßbtumas
die,ta
dieb,waggis
dieberey,waggista
diebisch,waggigbnas
diebsack,dimßaks; dalmonas
diebshalß,waggiu; waggis
diebstall,waggista
dieer,szittas; szis; szissai
diele,diele
dielen,greßti
dienen,szluzyti; tarnauti; derreti
diener,tarnas; sluga
dienerin,sluginne; tarnaite
dienlich,deringas
dienst,szluzma; szluzba; tarnawimas
dienstag,utarninkas
dienstbarkeit,mergyste
diensthafftig,sluzaunas
dienstleisten,stuziti
dienstwillig,stuzaunas
diesseit,sze; szale
dieweil,kadangi
dill,krapai
ding,daiktas
ding geringschuzig,mierni daiktai
ding heilig,szwenti daiktai
ding jedes,kiek daikts
ding unmüglich,negalimi daiktai
dinge alle,wissi daiktai
dingen,derreti
dint,paraßas
dintenfaß,kalmorus
dirne,jumprowa; panna
discipel,mokintinis
disciplin,mokslas; pamokslas
distel,usnis
distellfinck,dagillis
distilliren,perdegti
dittrich,witerakas
döbel,szapalas
doch,taczau; juk
docke,lele; lelele
doctor,daktaris
doctoriren,daktarauti
dohle,kusa
dolch,stulgis
doll und voll,ik akkiu priigeres
doll werden,padukti; pasusti
doller,padukelis; pasutelis
dollmetschen,tulkauti
dollmetscher,tulkas
donner,perkunas; diewaitis
donnern,grauti
donnerstag,czetwergas
donnerstein,kauspennis
donnerstrahl,pyßterrejimas
doppelt,dwilinkas
dorff,kiemas
dorffschultz,szaltyßus
dorn,erßkeczei
dornicht,erßketyngas
dornpusch,erßketis
dornstrauch,erßketinas
dörren,dzowinti
dort,ten; aure
dorther,ißten
dorthin,tenay
dorthin werts,tenlinkay
dotter,trinys
drache,aitworas
